calidad	aroma	cuerpo	sabor	fuerza
9.8	3.3	2.8	3.1	4.1
12.6	4.4	4.9	3.5	3.9
11.9	3.9	5.3	4.8	4.7
11.1	3.9	2.6	3.1	3.6
13.3	5.6	5.1	5.5	5.1
12.8	4.6	4.7	5.0	4.1
12.8	4.8	4.8	4.8	3.3
12.0	5.3	4.5	4.3	5.2
13.6	4.3	4.3	3.9	2.9
13.9	4.3	3.9	4.7	3.9
14.4	5.1	4.3	4.5	3.6
12.3	3.3	5.4	4.3	3.6
16.1	5.9	5.7	7.0	4.1
16.1	7.7	6.6	6.7	3.7
15.5	7.1	4.4	5.8	4.1
15.5	5.5	5.6	5.6	4.4
13.8	6.3	5.4	4.8	4.6
13.8	5.0	5.5	5.5	4.1
11.3	4.6	4.1	4.3	3.1
7.9	3.4	5.0	3.4	3.4
15.1	6.4	5.4	6.6	4.8
13.5	5.5	5.3	5.3	3.8
10.8	4.7	4.1	5.0	3.7
9.5	4.1	4.0	4.1	4.0
12.7	6.0	5.4	5.7	4.7
11.6	4.3	4.6	4.7	4.9
11.7	3.9	4.0	5.1	5.1
11.9	5.1	4.9	5.0	5.1
10.8	3.9	4.4	5.0	4.4
8.7	4.5	3.7	2.9	3.9
10.7	5.2	4.3	5.0	6.0
9.1	4.2	3.8	3.0	4.7
12.1	3.3	3.5	4.3	4.5
14.9	6.8	5.0	6.0	5.2
13.5	5.0	5.7	5.5	4.8
12.2	3.5	4.7	4.2	3.3
10.3	4.3	5.5	3.5	5.8
13.2	5.2	4.8	5.7	3.5
