NATURALEZA,JORNADA,PROMLECT,PROMMATE
OFICIAL,COMPLETA,33,18
OFICIAL,COMPLETA,0,19
OFICIAL,COMPLETA,30,21
OFICIAL,COMPLETA,44,21
OFICIAL,COMPLETA,31,25
NO OFICIAL,MANANA,34,27
OFICIAL,COMPLETA,38,28
OFICIAL,COMPLETA,47,28
OFICIAL,COMPLETA,31,29
OFICIAL,COMPLETA,34,29
OFICIAL,COMPLETA,35,29
OFICIAL,COMPLETA,36,29
OFICIAL,COMPLETA,36,29
OFICIAL,COMPLETA,45,29
OFICIAL,COMPLETA,33,30
OFICIAL,UNICA,36,30
OFICIAL,NOCTURNA,36,30
OFICIAL,FIN DE SEMANA,40,30
OFICIAL,COMPLETA,41,30
OFICIAL,COMPLETA,44,30
OFICIAL,NOCTURNA,34,31
OFICIAL,FIN DE SEMANA,38,31
OFICIAL,COMPLETA,39,31
OFICIAL,COMPLETA,40,31
OFICIAL,COMPLETA,33,32
OFICIAL,COMPLETA,34,32
NO OFICIAL,FIN DE SEMANA,37,32
OFICIAL,COMPLETA,37,32
OFICIAL,MANANA,39,32
OFICIAL,COMPLETA,39,32
OFICIAL,COMPLETA,40,32
NO OFICIAL,FIN DE SEMANA,40,32
OFICIAL,FIN DE SEMANA,41,32
OFICIAL,NOCTURNA,42,32
OFICIAL,FIN DE SEMANA,43,32
OFICIAL,FIN DE SEMANA,45,32
OFICIAL,FIN DE SEMANA,36,33
NO OFICIAL,FIN DE SEMANA,36,33
OFICIAL,COMPLETA,37,33
OFICIAL,COMPLETA,37,33
OFICIAL,COMPLETA,37,33
OFICIAL,COMPLETA,38,33
OFICIAL,FIN DE SEMANA,38,33
NO OFICIAL,FIN DE SEMANA,38,33
OFICIAL,COMPLETA,38,33
OFICIAL,FIN DE SEMANA,38,33
OFICIAL,FIN DE SEMANA,38,33
OFICIAL,COMPLETA,39,33
OFICIAL,FIN DE SEMANA,39,33
OFICIAL,NOCTURNA,39,33
OFICIAL,COMPLETA,40,33
