"Y" "X1" "X2" "X3" "X4" "X5"
4.8 9.84 62.2 12 82.3 600
5 11.03 49.9 19.7 102.1 318
4.4 11.65 54.5 18.6 96.1 248
3.7 8.48 51.1 12.1 92.8 166
5.5 11.08 50.2 18.6 63.6 387
1.7 8.09 56.9 7.6 56.9 92
4.5 10.05 52 36.7 87.5 184
5.7 11.2 56.5 34.5 88.9 180
4 9.2 52.2 17.5 71.1 298
4.2 9.06 52.8 6.9 75.9 134
4.8 10.24 49 36.3 112.6 195
3.4 10.42 58 8 59 119
1.3 8.16 60.9 1.9 58 73
4.1 7.13 55.7 9 39.6 279
4.4 8.88 55.8 14.1 76.8 237
1.8 7.67 51.7 2.5 40.4 106
4.2 7.53 42 23.1 98.9 95
5.6 8.95 53.7 18.9 122.8 147
5.7 11.8 53.8 9.1 116.9 571
1.6 8.82 58.2 3.8 51.7 80
4.5 9.44 52.5 10.9 58.5 297
4.9 10.23 53.2 9.9 77.9 752
3.7 7.58 56.7 20.8 88 97
3.9 11.15 56.5 7.7 73.9 281
2.9 10.79 44.2 2.6 56.6 461
6.1 13.59 54 24.2 111.7 312
4.7 8.77 54.5 5.2 47 143
3.5 7.94 49.5 6.2 92.3 195
5.9 17.94 56.2 26.4 91.8 835
2.5 8.54 56.1 27 82.5 98
5.3 8.15 54.9 12.3 79.8 99
4.1 9.35 53.8 15.9 80.9 833
4.1 10.47 53.2 5.7 69.1 196
2.9 8.86 51.3 9.5 87.5 100
5.8 11.41 50.4 23.8 73 424
4.4 7.7 56.9 12.2 67.9 129
4.9 11.07 53.2 28.5 122 768
5.3 9.77 50.2 15.7 89.7 154
5.5 8.37 50.7 15.1 84.8 115
7.6 11.41 61.1 16.6 97.9 535
2 8.93 56 6.2 72.5 95
6.2 10.15 51.9 16.4 59.2 568
3.7 8.58 55 7.4 95.9 304
3.1 9.41 59.5 20.6 91.7 29
3.5 8.03 54.2 24.3 87.3 97
4.3 8.67 48.2 24.4 90.8 182
4.7 10.72 53.8 23.2 94.1 113
5.4 11.18 45.7 60.5 85.8 640
4.8 9.36 54.1 18.3 90.6 165
4.3 7.65 47.1 16.4 65.7 318
4.4 9.66 52.1 9.9 98.3 83
2.7 8.34 56.9 8.1 74 107
4.3 10.39 54.6 14 88.3 353
5.6 11.48 57.6 20.3 82 252
4.9 9.89 50.5 17.7 103.6 167
5 7.78 45.5 20.9 71.6 489
4.6 10.16 54.2 8.4 51.5 831
4.8 12.01 52.8 10.8 96.9 298
4.6 9.68 57.8 16.7 79 186
